population-level,bf.log,priors
1,0.0000,chosen
diagnosis * level * change,41.1492,chosen
diagnosis,-1.6567,chosen
level,-1.0608,chosen
change,51.4144,chosen
diagnosis + level,-2.7301,chosen
diagnosis + change,49.6215,chosen
level + change,55.6853,chosen
diagnosis + level + change,53.8808,chosen
diagnosis + level + diagnosis:level,-5.6839,chosen
diagnosis + level + change + diagnosis:level,51.0658,chosen
level + change + level:change,54.2849,chosen
diagnosis + level + change + level:change,52.4745,chosen
diagnosis + level + change + diagnosis:level + level:change,49.6736,chosen
diagnosis + change + diagnosis:change,45.1612,chosen
diagnosis + level + change + diagnosis:change,49.4123,chosen
diagnosis + level + change + diagnosis:level + diagnosis:change,46.8835,chosen
diagnosis + level + change + level:change + diagnosis:change,48.0223,chosen
diagnosis + level + change + diagnosis:level + level:change + diagnosis:change,45.4945,chosen
1,0.0000,sdx2
diagnosis * level * change,32.1160,sdx2
diagnosis,-3.3199,sdx2
level,-1.6164,sdx2
change,51.2096,sdx2
diagnosis + level,-4.9940,sdx2
diagnosis + change,47.7149,sdx2
level + change,54.9886,sdx2
diagnosis + level + change,51.4941,sdx2
diagnosis + level + diagnosis:level,-9.8733,sdx2
diagnosis + level + change + diagnosis:level,46.7640,sdx2
level + change + level:change,52.9055,sdx2
diagnosis + level + change + level:change,49.4112,sdx2
diagnosis + level + change + diagnosis:level + level:change,44.6754,sdx2
diagnosis + change + diagnosis:change,41.2087,sdx2
diagnosis + level + change + diagnosis:change,44.9746,sdx2
diagnosis + level + change + diagnosis:level + diagnosis:change,40.5434,sdx2
diagnosis + level + change + level:change + diagnosis:change,42.9083,sdx2
diagnosis + level + change + diagnosis:level + level:change + diagnosis:change,38.4610,sdx2
1,0.0000,sdx4
diagnosis * level * change,22.0885,sdx4
diagnosis,-5.2407,sdx4
level,-2.2682,sdx4
change,50.6365,sdx4
diagnosis + level,-7.5448,sdx4
diagnosis + change,45.1770,sdx4
level + change,53.7745,sdx4
diagnosis + level + change,48.3077,sdx4
diagnosis + level + diagnosis:level,-14.4697,sdx4
diagnosis + level + change + diagnosis:level,41.5494,sdx4
level + change + level:change,50.9976,sdx4
diagnosis + level + change + level:change,45.5441,sdx4
diagnosis + level + change + diagnosis:level + level:change,38.8023,sdx4
diagnosis + change + diagnosis:change,36.6002,sdx4
diagnosis + level + change + diagnosis:change,39.7294,sdx4
diagnosis + level + change + diagnosis:level + diagnosis:change,33.2866,sdx4
diagnosis + level + change + level:change + diagnosis:change,36.9557,sdx4
diagnosis + level + change + diagnosis:level + level:change + diagnosis:change,30.5138,sdx4
1,0.0000,sdx8
diagnosis * level * change,11.7653,sdx8
diagnosis,-7.3340,sdx8
level,-2.9931,sdx8
change,49.9391,sdx8
diagnosis + level,-10.3218,sdx8
diagnosis + change,42.4481,sdx8
level + change,52.4032,sdx8
diagnosis + level + change,44.8902,sdx8
diagnosis + level + diagnosis:level,-19.2939,sdx8
diagnosis + level + change + diagnosis:level,36.0734,sdx8
level + change + level:change,48.9580,sdx8
diagnosis + level + change + level:change,41.4304,sdx8
diagnosis + level + change + diagnosis:level + level:change,32.6223,sdx8
diagnosis + change + diagnosis:change,31.7873,sdx8
diagnosis + level + change + diagnosis:change,34.2478,sdx8
diagnosis + level + change + diagnosis:level + diagnosis:change,25.7192,sdx8
diagnosis + level + change + level:change + diagnosis:change,30.7699,sdx8
diagnosis + level + change + diagnosis:level + level:change + diagnosis:change,22.2633,sdx8
1,0.0000,sdx0.5
diagnosis * level * change,46.6356,sdx0.5
diagnosis,-0.6537,sdx0.5
level,-0.6371,sdx0.5
change,49.9494,sdx0.5
diagnosis + level,-1.2490,sdx0.5
diagnosis + change,49.2833,sdx0.5
level + change,54.1295,sdx0.5
diagnosis + level + change,53.4690,sdx0.5
diagnosis + level + diagnosis:level,-2.6234,sdx0.5
diagnosis + level + change + diagnosis:level,52.1737,sdx0.5
level + change + level:change,53.3844,sdx0.5
diagnosis + level + change + level:change,52.7317,sdx0.5
diagnosis + level + change + diagnosis:level + level:change,51.4411,sdx0.5
diagnosis + change + diagnosis:change,46.7018,sdx0.5
diagnosis + level + change + diagnosis:change,50.9029,sdx0.5
diagnosis + level + change + diagnosis:level + diagnosis:change,49.8933,sdx0.5
diagnosis + level + change + level:change + diagnosis:change,50.1490,sdx0.5
diagnosis + level + change + diagnosis:level + level:change + diagnosis:change,49.1626,sdx0.5
1,0.0000,sdx0.25
diagnosis * level * change,42.4562,sdx0.25
diagnosis,-0.1848,sdx0.25
level,-0.2848,sdx0.25
