population-level,bf.log,priors
1,0.0000,chosen
diagnosis * expected * phase * difficulty,10.5230,chosen
diagnosis,0.4065,chosen
expected,18.8139,chosen
phase,-1.6983,chosen
difficulty,22.3362,chosen
diagnosis + expected,22.0315,chosen
diagnosis + phase,-0.4900,chosen
diagnosis + difficulty,21.8027,chosen
expected + phase,21.2256,chosen
expected + difficulty,50.4666,chosen
phase + difficulty,20.5198,chosen
diagnosis + expected + phase,20.8495,chosen
diagnosis + expected + difficulty,51.7206,chosen
diagnosis + expected + diagnosis:expected,18.3577,chosen
diagnosis + phase + difficulty,23.4695,chosen
diagnosis + phase + diagnosis:phase,-8.3461,chosen
diagnosis + difficulty + diagnosis:difficulty,16.2508,chosen
expected + phase + difficulty,48.6378,chosen
expected + phase + expected:phase,28.5948,chosen
expected + difficulty + expected:difficulty,51.6960,chosen
phase + difficulty + phase:difficulty,20.3881,chosen
diagnosis + expected + phase + difficulty,NA,chosen
diagnosis + expected + phase + diagnosis:expected,15.1979,chosen
diagnosis + expected + phase + diagnosis:phase,12.6759,chosen
diagnosis + expected + phase + expected:phase,32.5785,chosen
diagnosis + expected + difficulty + diagnosis:expected,45.2841,chosen
diagnosis + expected + difficulty + diagnosis:difficulty,46.7401,chosen
diagnosis + expected + difficulty + expected:difficulty,53.0834,chosen
diagnosis + phase + difficulty + diagnosis:phase,15.9654,chosen
diagnosis + phase + difficulty + diagnosis:difficulty,20.3642,chosen
diagnosis + phase + difficulty + phase:difficulty,19.4124,chosen
expected + phase + difficulty + expected:phase,68.0731,chosen
expected + phase + difficulty + expected:difficulty,54.4390,chosen
expected + phase + difficulty + phase:difficulty,48.6784,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected,44.2086,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase,42.7065,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty,47.2319,chosen
diagnosis + expected + phase + difficulty + expected:phase,68.4085,chosen
diagnosis + expected + phase + difficulty + expected:difficulty,53.0721,chosen
diagnosis + expected + phase + difficulty + phase:difficulty,47.2149,chosen
diagnosis + expected + phase + diagnosis:expected + diagnosis:phase,7.4173,chosen
diagnosis + expected + phase + diagnosis:expected + expected:phase,23.5845,chosen
diagnosis + expected + phase + diagnosis:phase + expected:phase,22.6302,chosen
diagnosis + expected + difficulty + diagnosis:expected + diagnosis:difficulty,42.5063,chosen
diagnosis + expected + difficulty + diagnosis:expected + expected:difficulty,48.4412,chosen
diagnosis + expected + difficulty + diagnosis:difficulty + expected:difficulty,49.3618,chosen
diagnosis + phase + difficulty + diagnosis:phase + diagnosis:difficulty,11.5482,chosen
diagnosis + phase + difficulty + diagnosis:phase + phase:difficulty,14.4237,chosen
diagnosis + phase + difficulty + diagnosis:difficulty + phase:difficulty,16.8319,chosen
expected + phase + difficulty + expected:phase + expected:difficulty,73.8563,chosen
expected + phase + difficulty + expected:phase + phase:difficulty,67.1757,chosen
expected + phase + difficulty + expected:difficulty + phase:difficulty,51.5058,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase,36.9746,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty,40.1536,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + expected:phase,63.3507,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + expected:difficulty,49.2077,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + phase:difficulty,43.9822,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty,38.9998,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + expected:phase,60.2202,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + expected:difficulty,45.8423,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + phase:difficulty,36.8433,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + expected:phase,62.7428,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + expected:difficulty,49.8198,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + phase:difficulty,45.3384,chosen
diagnosis + expected + phase + difficulty + expected:phase + expected:difficulty,74.4847,chosen
diagnosis + expected + phase + difficulty + expected:phase + phase:difficulty,67.1557,chosen
diagnosis + expected + phase + difficulty + expected:difficulty + phase:difficulty,52.2075,chosen
diagnosis + expected + phase + diagnosis:expected + diagnosis:phase + expected:phase,18.7503,chosen
diagnosis + expected + difficulty + diagnosis:expected + diagnosis:difficulty + expected:difficulty,43.6494,chosen
diagnosis + phase + difficulty + diagnosis:phase + diagnosis:difficulty + phase:difficulty,9.6398,chosen
expected + phase + difficulty + expected:phase + expected:difficulty + phase:difficulty,70.4959,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty,35.6419,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:phase,55.0600,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:difficulty,41.5534,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + phase:difficulty,36.1582,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:phase,58.8244,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:difficulty,46.3494,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + phase:difficulty,39.6988,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + expected:phase + expected:difficulty,68.7741,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + expected:phase + phase:difficulty,63.6345,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + expected:difficulty + phase:difficulty,47.9714,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:phase,55.5545,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:difficulty,43.3840,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + phase:difficulty,37.5400,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + expected:phase + expected:difficulty,66.7922,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + expected:phase + phase:difficulty,58.0649,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + expected:difficulty + phase:difficulty,44.6487,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + expected:phase + expected:difficulty,71.3240,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + expected:phase + phase:difficulty,63.5141,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + expected:difficulty + phase:difficulty,49.3962,chosen
diagnosis + expected + phase + difficulty + expected:phase + expected:difficulty + phase:difficulty,73.1331,chosen
diagnosis + expected + phase + diagnosis:expected + diagnosis:phase + expected:phase + diagnosis:expected:phase,9.9503,chosen
diagnosis + expected + difficulty + diagnosis:expected + diagnosis:difficulty + expected:difficulty + diagnosis:expected:difficulty,35.7087,chosen
diagnosis + phase + difficulty + diagnosis:phase + diagnosis:difficulty + phase:difficulty + diagnosis:phase:difficulty,-3.5818,chosen
expected + phase + difficulty + expected:phase + expected:difficulty + phase:difficulty + expected:phase:difficulty,70.7114,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase,52.9315,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:difficulty,38.9771,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + phase:difficulty,31.3349,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:phase + expected:difficulty,61.8932,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:phase + phase:difficulty,55.6056,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:phase + diagnosis:expected:phase,45.4881,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:difficulty + phase:difficulty,37.3777,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:phase + expected:difficulty,65.2243,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:phase + phase:difficulty,59.4606,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:difficulty + phase:difficulty,44.4426,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:difficulty + diagnosis:expected:difficulty,38.8870,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + expected:phase + expected:difficulty + phase:difficulty,69.2567,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:phase + expected:difficulty,63.3394,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:phase + phase:difficulty,58.6467,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:difficulty + phase:difficulty,40.6044,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + phase:difficulty + diagnosis:phase:difficulty,18.6108,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + expected:phase + expected:difficulty + phase:difficulty,67.9887,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + expected:phase + expected:difficulty + phase:difficulty,70.8939,chosen
diagnosis + expected + phase + difficulty + expected:phase + expected:difficulty + phase:difficulty + expected:phase:difficulty,71.3230,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + expected:difficulty,58.4999,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + phase:difficulty,53.9857,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + diagnosis:expected:phase,42.6615,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:difficulty + phase:difficulty,37.7132,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:difficulty + diagnosis:expected:difficulty,29.2986,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + phase:difficulty + diagnosis:phase:difficulty,17.6648,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:phase + expected:difficulty + phase:difficulty,61.7420,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:phase + expected:difficulty + diagnosis:expected:phase,52.3068,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + expected:phase + phase:difficulty + diagnosis:expected:phase,45.6190,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:phase + expected:difficulty + phase:difficulty,66.6155,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:phase + expected:difficulty + diagnosis:expected:difficulty,58.7820,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:difficulty + expected:difficulty + phase:difficulty + diagnosis:expected:difficulty,34.6045,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + expected:phase + expected:difficulty + phase:difficulty + expected:phase:difficulty,67.1288,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:phase + expected:difficulty + phase:difficulty,62.8544,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:phase + phase:difficulty + diagnosis:phase:difficulty,41.7827,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + diagnosis:difficulty + expected:difficulty + phase:difficulty + diagnosis:phase:difficulty,26.4480,chosen
diagnosis + expected + phase + difficulty + diagnosis:phase + expected:phase + expected:difficulty + phase:difficulty + expected:phase:difficulty,64.1362,chosen
diagnosis + expected + phase + difficulty + diagnosis:difficulty + expected:phase + expected:difficulty + phase:difficulty + expected:phase:difficulty,66.8898,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + expected:difficulty + phase:difficulty,60.1490,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + expected:difficulty + diagnosis:expected:phase,50.1475,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + expected:difficulty + diagnosis:expected:difficulty,50.8354,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + phase:difficulty + diagnosis:expected:phase,42.6382,chosen
diagnosis + expected + phase + difficulty + diagnosis:expected + diagnosis:phase + diagnosis:difficulty + expected:phase + phase:difficulty + diagnosis:phase:difficulty,36.9050,chosen
