population-level,bf.log,priors
1,0.0000,chosen
diagnosis * phase * expected,-19.6750,chosen
diagnosis,-2.1216,chosen
phase,-3.7852,chosen
expected,14.7507,chosen
diagnosis + phase,-5.8789,chosen
diagnosis + expected,12.7927,chosen
phase + expected,14.1318,chosen
diagnosis + phase + expected,12.1657,chosen
diagnosis + phase + diagnosis:phase,-16.7823,chosen
diagnosis + phase + expected + diagnosis:phase,1.5101,chosen
phase + expected + phase:expected,11.7946,chosen
diagnosis + phase + expected + phase:expected,9.8265,chosen
diagnosis + phase + expected + diagnosis:phase + phase:expected,-0.8262,chosen
diagnosis + expected + diagnosis:expected,5.5582,chosen
diagnosis + phase + expected + diagnosis:expected,5.0165,chosen
diagnosis + phase + expected + diagnosis:phase + diagnosis:expected,-5.5703,chosen
diagnosis + phase + expected + phase:expected + diagnosis:expected,2.7549,chosen
diagnosis + phase + expected + diagnosis:phase + phase:expected + diagnosis:expected,-7.8457,chosen
1,0.0000,sdx2
diagnosis * phase * expected,-35.2680,sdx2
diagnosis,-4.1114,sdx2
phase,-5.1398,sdx2
expected,14.1314,sdx2
diagnosis + phase,-9.1906,sdx2
diagnosis + expected,10.2026,sdx2
phase + expected,12.1670,sdx2
diagnosis + phase + expected,8.2693,sdx2
diagnosis + phase + diagnosis:phase,-24.1982,sdx2
diagnosis + phase + expected + diagnosis:phase,-6.5329,sdx2
phase + expected + phase:expected,8.4237,sdx2
diagnosis + phase + expected + phase:expected,4.5036,sdx2
diagnosis + phase + expected + diagnosis:phase + phase:expected,-10.2534,sdx2
diagnosis + expected + diagnosis:expected,0.9503,sdx2
diagnosis + phase + expected + diagnosis:expected,-0.9463,sdx2
diagnosis + phase + expected + diagnosis:phase + diagnosis:expected,-15.6523,sdx2
diagnosis + phase + expected + phase:expected + diagnosis:expected,-4.5933,sdx2
diagnosis + phase + expected + diagnosis:phase + phase:expected + diagnosis:expected,-19.3017,sdx2
1,0.0000,sdx8
diagnosis * phase * expected,-66.9934,sdx8
diagnosis,-8.1868,sdx8
phase,-7.8442,sdx8
expected,12.7994,sdx8
diagnosis + phase,-16.0686,sdx8
diagnosis + expected,4.6968,sdx8
phase + expected,8.0909,sdx8
diagnosis + phase + expected,0.0548,sdx8
diagnosis + phase + diagnosis:phase,-39.3693,sdx8
diagnosis + phase + expected + diagnosis:phase,-23.0546,sdx8
phase + expected + phase:expected,1.5667,sdx8
diagnosis + phase + expected + phase:expected,-6.4867,sdx8
diagnosis + phase + expected + diagnosis:phase + phase:expected,-29.5887,sdx8
diagnosis + expected + diagnosis:expected,-8.6590,sdx8
diagnosis + phase + expected + diagnosis:expected,-13.3089,sdx8
diagnosis + phase + expected + diagnosis:phase + diagnosis:expected,-36.3603,sdx8
diagnosis + phase + expected + phase:expected + diagnosis:expected,-19.7456,sdx8
diagnosis + phase + expected + diagnosis:phase + phase:expected + diagnosis:expected,-42.7692,sdx8
1,0.0000,sdx0.5
diagnosis * phase * expected,-5.1289,sdx0.5
diagnosis,-0.3671,sdx0.5
phase,-2.6998,sdx0.5
expected,15.0183,sdx0.5
diagnosis + phase,-3.0549,sdx0.5
diagnosis + expected,14.7567,sdx0.5
1,0.0000,sdx0.25
diagnosis * phase * expected,6.1335,sdx0.25
diagnosis,0.9649,sdx0.25
phase,-2.0037,sdx0.25
expected,14.0747,sdx0.25
diagnosis + phase,-1.0269,sdx0.25
diagnosis + expected,15.0247,sdx0.25
phase + expected,15.5072,sdx0.25
diagnosis + phase + expected,16.3806,sdx0.25
diagnosis + phase + diagnosis:phase,-4.4279,sdx0.25
diagnosis + phase + expected + diagnosis:phase,13.1329,sdx0.25
phase + expected + phase:expected,15.8274,sdx0.25
diagnosis + phase + expected + phase:expected,16.7326,sdx0.25
diagnosis + phase + expected + diagnosis:phase + phase:expected,13.5446,sdx0.25
diagnosis + expected + diagnosis:expected,11.5079,sdx0.25
diagnosis + phase + expected + diagnosis:expected,12.9199,sdx0.25
diagnosis + phase + expected + diagnosis:phase + diagnosis:expected,9.8405,sdx0.25
diagnosis + phase + expected + phase:expected + diagnosis:expected,13.3663,sdx0.25
diagnosis + phase + expected + diagnosis:phase + phase:expected + diagnosis:expected,10.2456,sdx0.25
