trl,emo,tone,ut,noise_pic,noise,difficulty,phase,subblock,prob_HP,expected
1,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
2,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
3,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
4,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
5,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
6,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
7,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
8,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
9,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
10,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
11,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
12,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
13,positive,low,0,4,0.1,easy,prevolatile,1,0.83,unexpected
14,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
15,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
16,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
17,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
18,negative,high,0,3,0.3,medium,prevolatile,1,0.83,unexpected
19,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
20,positive,low,0,2,0.9,difficult,prevolatile,1,0.83,unexpected
21,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
22,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
23,negative,high,0,2,0.9,difficult,prevolatile,1,0.83,unexpected
24,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
25,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
26,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
27,negative,high,0,4,0.1,easy,prevolatile,1,0.83,unexpected
28,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
29,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
30,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
31,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
32,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
33,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
34,positive,low,0,2,0.9,difficult,prevolatile,1,0.83,unexpected
35,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
36,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
37,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
38,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
39,positive,low,0,3,0.3,medium,prevolatile,1,0.83,unexpected
40,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
41,negative,high,0,3,0.3,medium,prevolatile,1,0.83,unexpected
42,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
43,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
44,positive,low,0,3,0.3,medium,prevolatile,1,0.83,unexpected
45,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
46,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
47,negative,high,0,4,0.1,easy,prevolatile,1,0.83,unexpected
48,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
49,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
50,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
51,negative,high,0,2,0.9,difficult,prevolatile,1,0.83,unexpected
52,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
53,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
54,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
55,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
56,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
57,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
58,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
59,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
60,positive,low,0,4,0.1,easy,prevolatile,1,0.83,unexpected
61,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
62,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
63,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
64,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
65,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
66,negative,low,1,2,0.9,difficult,prevolatile,1,0.83,expected
67,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
68,positive,high,1,3,0.3,medium,prevolatile,1,0.83,expected
69,negative,low,1,3,0.3,medium,prevolatile,1,0.83,expected
70,negative,low,1,4,0.1,easy,prevolatile,1,0.83,expected
71,positive,high,1,4,0.1,easy,prevolatile,1,0.83,expected
72,positive,high,1,2,0.9,difficult,prevolatile,1,0.83,expected
73,positive,low,0,2,0.9,difficult,volatile,2,0.17,expected
74,negative,high,0,2,0.9,difficult,volatile,2,0.17,expected
75,positive,high,1,2,0.9,difficult,volatile,2,0.17,unexpected
76,positive,low,0,2,0.9,difficult,volatile,2,0.17,expected
77,negative,low,1,2,0.9,difficult,volatile,2,0.17,unexpected
78,positive,low,0,2,0.9,difficult,volatile,2,0.17,expected
79,negative,high,0,2,0.9,difficult,volatile,2,0.17,expected
80,negative,low,1,3,0.3,medium,volatile,2,0.17,unexpected
81,negative,high,0,2,0.9,difficult,volatile,2,0.17,expected
82,negative,high,0,2,0.9,difficult,volatile,2,0.17,expected
83,positive,low,0,2,0.9,difficult,volatile,2,0.17,expected
84,negative,high,0,2,0.9,difficult,volatile,2,0.17,expected
85,positive,low,0,2,0.9,difficult,volatile,2,0.17,expected
86,negative,high,0,3,0.3,medium,volatile,2,0.17,expected
87,positive,high,1,3,0.3,medium,volatile,2,0.17,unexpected
88,positive,low,0,3,0.3,medium,volatile,2,0.17,expected
89,negative,high,0,3,0.3,medium,volatile,2,0.17,expected
90,negative,high,0,3,0.3,medium,volatile,2,0.17,expected
91,negative,high,0,3,0.3,medium,volatile,2,0.17,expected
92,positive,low,0,3,0.3,medium,volatile,2,0.17,expected
93,positive,low,0,3,0.3,medium,volatile,2,0.17,expected
94,positive,low,0,3,0.3,medium,volatile,2,0.17,expected
95,negative,high,0,3,0.3,medium,volatile,2,0.17,expected
96,positive,low,0,3,0.3,medium,volatile,2,0.17,expected
97,positive,high,1,4,0.1,easy,volatile,2,0.17,unexpected
98,negative,high,0,4,0.1,easy,volatile,2,0.17,expected
99,negative,high,0,4,0.1,easy,volatile,2,0.17,expected
100,positive,low,0,4,0.1,easy,volatile,2,0.17,expected
101,negative,low,1,4,0.1,easy,volatile,2,0.17,unexpected
102,negative,high,0,4,0.1,easy,volatile,2,0.17,expected
103,positive,low,0,4,0.1,easy,volatile,2,0.17,expected
104,negative,high,0,4,0.1,easy,volatile,2,0.17,expected
105,positive,low,0,4,0.1,easy,volatile,2,0.17,expected
106,negative,high,0,4,0.1,easy,volatile,2,0.17,expected
107,positive,low,0,4,0.1,easy,volatile,2,0.17,expected
108,positive,low,0,4,0.1,easy,volatile,2,0.17,expected
109,negative,high,0,2,0.9,difficult,volatile,3,0.5,neutral
110,positive,high,1,3,0.3,medium,volatile,3,0.5,neutral
111,positive,high,1,4,0.1,easy,volatile,3,0.5,neutral
112,positive,low,0,2,0.9,difficult,volatile,3,0.5,neutral
113,negative,low,1,2,0.9,difficult,volatile,3,0.5,neutral
114,positive,low,0,4,0.1,easy,volatile,3,0.5,neutral
115,positive,low,0,3,0.3,medium,volatile,3,0.5,neutral
116,negative,high,0,3,0.3,medium,volatile,3,0.5,neutral
117,positive,high,1,2,0.9,difficult,volatile,3,0.5,neutral
118,negative,low,1,3,0.3,medium,volatile,3,0.5,neutral
119,negative,low,1,4,0.1,easy,volatile,3,0.5,neutral
120,negative,high,0,4,0.1,easy,volatile,3,0.5,neutral
121,positive,high,1,2,0.9,difficult,volatile,4,0.83,expected
122,negative,high,0,3,0.3,medium,volatile,4,0.83,unexpected
123,positive,high,1,2,0.9,difficult,volatile,4,0.83,expected
124,positive,low,0,4,0.1,easy,volatile,4,0.83,unexpected
125,positive,high,1,2,0.9,difficult,volatile,4,0.83,expected
126,negative,low,1,2,0.9,difficult,volatile,4,0.83,expected
127,negative,low,1,4,0.1,easy,volatile,4,0.83,expected
128,negative,low,1,4,0.1,easy,volatile,4,0.83,expected
129,positive,high,1,3,0.3,medium,volatile,4,0.83,expected
130,positive,high,1,4,0.1,easy,volatile,4,0.83,expected
131,positive,high,1,4,0.1,easy,volatile,4,0.83,expected
132,negative,low,1,3,0.3,medium,volatile,4,0.83,expected
133,positive,low,0,3,0.3,medium,volatile,4,0.83,unexpected
134,negative,low,1,3,0.3,medium,volatile,4,0.83,expected
135,positive,high,1,3,0.3,medium,volatile,4,0.83,expected
136,positive,high,1,4,0.1,easy,volatile,4,0.83,expected
137,negative,low,1,2,0.9,difficult,volatile,4,0.83,expected
138,positive,low,0,2,0.9,difficult,volatile,4,0.83,unexpected
139,positive,high,1,2,0.9,difficult,volatile,4,0.83,expected
